Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Is Training
500,1.4185157,0.937984496124031,107.43361,-61.757584,481.4844895893498,481.4844895893498,0.20777987969988854,84730.51,0.2952217,0.00039479998,10.239625,0.15110193,0.8138437,1.0
1000,1.419681,0.6835016835016835,211.33376,-107.492645,410.59598446213437,410.59598446213437,0.5389771347094123,69033.7,0.26259416,0.00038699998,9.900968,0.13611174,0.8345231,1.0
1500,1.4241593,0.6254071661237784,258.61273,-137.98088,373.09001238934405,373.09001238934405,0.17529816441722307,59442.32,0.23386566,0.00037667,9.764996,0.17326868,0.7921083,1.0
2000,1.4242133,0.8901515151515151,276.8905,-171.41028,538.7709175541715,538.7709175541715,0.11337384587189607,44399.516,0.19446775,0.00036635002,9.353228,0.19498175,0.7756689,1.0
2500,1.427503,0.8867924528301887,314.76746,-209.15132,497.1510617813974,497.1510617813974,0.3183953867768409,22704.984,0.25616768,0.00035596,8.904734,0.1546202,0.7509024,1.0
3000,1.4329602,0.3850415512465374,320.0833,-253.98506,198.89474140706156,198.89474140706156,0.6637824836530233,33416.484,0.34808493,0.00034559,8.650801,0.16251895,0.7792983,1.0
3500,1.4355701,0.3342245989304813,282.97647,-331.4796,187.70955403645834,187.70955403645834,0.30401755833626265,23199.02,0.3856246,0.00033527,8.640897,0.16656539,0.77214944,1.0
4000,1.4388514,0.3342245989304813,244.75238,-405.6591,187.70955403645834,187.70955403645834,0.10224482234319525,15271.23,0.33863553,0.00032495,8.116919,0.16832143,0.7351476,1.0
4500,1.4403596,0.3342245989304813,217.06784,-472.06628,187.70955403645834,187.70955403645834,0.2818913176854499,10197.569,0.44852668,0.00031463,7.411012,0.16285658,0.73887587,1.0
5000,1.4423362,0.3342245989304813,195.17134,-535.1996,187.69305224609374,187.69305224609374,0.30938074398041243,7356.9736,0.25980395,0.00030431,7.0458016,0.16212353,0.7172658,1.0
5500,1.4440427,0.3342245989304813,177.49243,-597.36926,186.8305730794271,186.8305730794271,0.3580780272483873,5530.0645,0.3596076,0.00029399002,7.6048317,0.15834145,0.7458066,1.0
6000,1.4451605,0.3333333333333333,165.65714,-654.34033,187.70955403645834,187.70955403645834,0.28689164320628324,4380.421,0.30809873,0.00028367003,6.5734425,0.15531406,0.72938895,1.0
6500,1.446305,0.3342245989304813,154.08159,-713.7632,118.70904541015625,118.70904541015625,0.44007605107625797,10561.375,0.34251356,0.00027335002,6.3895836,0.16464618,0.7122785,1.0
7000,1.4510086,0.3333333333333333,120.37822,-784.9703,67.32718912760417,67.32718912760417,0.604800319989527,13952.255,0.22794929,0.00026303003,7.030096,0.1604588,0.73123544,1.0
7500,1.4550931,0.3324607329842932,89.94834,-863.41833,67.32718912760417,67.32718912760417,0.6408576569557237,11654.262,0.3203119,0.00025271002,6.584403,0.14998811,0.7279901,1.0
8000,1.4587848,0.3333333333333333,74.11025,-935.6382,186.73875374348958,186.73875374348958,0.32441494083405015,4780.8843,0.27395767,0.00024496,6.0128484,0.13309175,0.7014391,1.0
8500,1.4604989,0.3342245989304813,84.03099,-974.827,187.70955403645834,187.70955403645834,0.2024129047393846,4165.0146,0.31652904,0.00023723004,6.4199944,0.16853926,0.7255815,1.0
9000,1.4619663,0.3342245989304813,99.43907,-1014.15466,187.70955403645834,187.70955403645834,0.2998578101793972,3273.275,0.28645292,0.00022691005,6.017769,0.14621502,0.7058636,1.0
9500,1.4631048,0.3342245989304813,111.89267,-1052.8058,187.70955403645834,187.70955403645834,0.23529327519735174,2617.8743,0.27809498,0.00021659005,6.0028563,0.15721348,0.71631414,1.0
10000,1.4666702,0.3333333333333333,119.60302,-1088.0204,187.70955403645834,187.70955403645834,0.2872701764106798,2278.4727,0.28439283,0.00020627007,5.876068,0.14785892,0.6982415,1.0
10500,1.4688042,0.3342245989304813,125.452065,-1122.2314,187.70955403645834,187.70955403645834,0.16860734383265652,2067.9338,0.27587786,0.00019595004,5.7879415,0.15715441,0.72297764,1.0
11000,1.4682032,0.3342245989304813,126.701294,-1156.8083,91.88519156901042,91.88519156901042,0.13189202094078536,10644.326,0.51404023,0.00018563005,5.8931894,0.1530094,0.71808994,1.0
11500,1.4691017,0.3342245989304813,105.26643,-1229.982,67.32718912760417,67.32718912760417,0.15596746158600328,19682.238,0.19760129,0.00017531007,5.6544,0.15143013,0.72580814,1.0
12000,1.4719297,0.3342245989304813,85.41803,-1303.9663,67.32718912760417,67.32718912760417,0.24615301720301783,19510.809,0.2368437,0.00016499008,5.7736983,0.14986393,0.7165046,1.0
12500,1.4739414,0.3342245989304813,72.72334,-1370.2722,67.32718912760417,67.32718912760417,0.3903442867596991,20375.18,0.22381684,0.00015467007,5.874915,0.15922059,0.7277641,1.0
13000,1.4750028,0.3342245989304813,62.360916,-1435.4833,67.32718912760417,67.32718912760417,0.8167889285087633,21608.914,0.14689392,0.00014435005,6.34977,0.15564921,0.73214746,1.0
13500,1.4760077,0.3333333333333333,54.901176,-1494.9006,67.32718912760417,67.32718912760417,0.2961669114430793,23152.807,0.19246045,0.00013403007,5.9709063,0.14154992,0.7442737,1.0
14000,1.4771879,0.3342245989304813,49.677963,-1549.8318,67.32718912760417,67.32718912760417,0.4957534790039109,24765.473,0.16466072,0.00012371008,5.7410717,0.15394303,0.7303344,1.0
14500,1.4774026,0.3333333333333333,45.603317,-1605.0526,67.32718912760417,67.32718912760417,0.2751659584045458,26680.33,0.1601582,0.00011339008,5.5984488,0.14690855,0.7395754,1.0
15000,1.4773706,0.3333333333333333,42.335632,-1651.3933,67.32718912760417,67.32718912760417,0.3306092214584398,28042.197,0.14868048,0.00010307008,6.3290296,0.15540077,0.7386643,1.0
