Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
500,1.4193755,0.18203309692671396,-63.491043,79.16680286280916,79.16680286280916,266938.75,0.3514596,0.00039484,1.0
1000,1.4253391,0.0,-65.186935,-25.407958984375,-25.407958984375,8247.223,0.32802087,0.0003871,1.0
1500,1.4295084,0.0,-50.63733,-25.407958984375,-25.407958984375,2084.4783,0.36034572,0.00037677996,1.0
2000,1.4379562,0.358695652173913,-41.608734,79.0573151629904,79.0573151629904,62932.03,0.42533243,0.00036645998,1.0
2500,1.4434013,0.48520710059171596,-50.491898,-56.1967268131607,-56.1967268131607,30998.19,0.34681386,0.00035612,1.0
3000,1.4462628,0.07327586206896551,-17.409863,-100.5947756531418,-100.5947756531418,37665.805,0.24997748,0.00034578,1.0
3500,1.452133,0.0,-50.184265,-120.02766223144532,-120.02766223144532,8351.271,0.16318025,0.00033545998,1.0
4000,1.4556931,0.0,-87.26512,-142.03562414550782,-142.03562414550782,2996.0293,0.13674718,0.00032514002,1.0
4500,1.458996,0.0,-119.57967,-148.63991796875,-148.63991796875,10248.539,0.18735345,0.00031482,1.0
5000,1.461735,0.0,-126.06074,-115.69473266601562,-115.69473266601562,423.4331,0.4113419,0.00030450002,1.0
5500,1.4653685,0.030800821355236138,-124.193794,-117.12653002326871,-117.12653002326871,108.159485,0.43579876,0.00029418,1.0
6000,1.4686489,0.30708661417322836,-140.98105,-1.351212905963678,-1.351212905963678,72294.31,0.36278582,0.00028386002,1.0
6500,1.4722356,0.3333333333333333,-97.01125,67.32720947265625,67.32720947265625,73715.43,0.34492207,0.00027355002,1.0
7000,1.474128,0.3333333333333333,-58.46268,67.32720947265625,67.32720947265625,34455.055,0.2833892,0.00026323003,1.0
7500,1.4759917,0.3333333333333333,-34.058834,68.91519612630208,68.91519612630208,17652.742,0.2871759,0.00025291002,1.0
8000,1.478466,0.34584450402144773,2.416607,168.8663110220304,168.8663110220304,20124.352,0.26983452,0.00024518,1.0
8500,1.4806564,0.3387096774193548,64.313995,189.67470847122152,189.67470847122152,13059.925,0.12119655,0.00023738005,1.0
9000,1.4812857,0.3333333333333333,100.99116,187.7095743815104,187.7095743815104,4972.8145,0.37069622,0.00022707004,1.0
9500,1.4820161,0.3333333333333333,105.55937,127.52427408854167,127.52427408854167,7761.75,0.26128128,0.00021675005,1.0
10000,1.4830916,0.3333333333333333,101.490585,187.7095743815104,187.7095743815104,3057.345,0.19432026,0.00020643006,1.0
10500,1.4836202,0.3333333333333333,118.6656,187.7095743815104,187.7095743815104,1647.0989,0.3000998,0.00019611005,1.0
11000,1.4854425,0.3342245989304813,128.14224,187.7095743815104,187.7095743815104,1069.5078,0.26945773,0.00018579006,1.0
11500,1.487745,0.3342245989304813,133.23422,187.7095743815104,187.7095743815104,865.25806,0.22964558,0.00017547008,1.0
12000,1.490691,0.3333333333333333,135.9104,187.7095743815104,187.7095743815104,744.4313,0.17747429,0.00016515008,1.0
12500,1.4923428,0.3333333333333333,138.15686,187.7095743815104,187.7095743815104,681.9647,0.28269878,0.00015483005,1.0
13000,1.493305,0.3333333333333333,139.316,187.7095743815104,187.7095743815104,570.61676,0.2862085,0.00014451006,1.0
13500,1.4941019,0.3333333333333333,139.22249,187.7095743815104,187.7095743815104,546.7834,0.17369807,0.00013419008,1.0
14000,1.4950187,0.3333333333333333,139.42477,187.7095743815104,187.7095743815104,517.8959,0.15869892,0.00012387008,1.0
14500,1.4969387,0.3333333333333333,139.74709,187.7095743815104,187.7095743815104,473.82983,0.163579,0.00011355008,1.0
15000,1.4981064,0.3342245989304813,140.07538,187.7095743815104,187.7095743815104,439.05307,0.22727628,0.00010323008,1.0
15500,1.5000793,0.33423180592991913,140.55084,187.7095743815104,187.7095743815104,393.15106,0.17418548,9.2910064e-05,1.0
16000,1.5012137,0.3333333333333333,140.78273,187.7095743815104,187.7095743815104,360.07422,0.18919988,8.518008e-05,1.0
16500,1.5023559,0.3333333333333333,140.85727,187.7095743815104,187.7095743815104,349.76068,0.13926724,7.7430086e-05,1.0
17000,1.5025125,0.3333333333333333,141.03717,187.7095743815104,187.7095743815104,338.36835,0.15179597,6.7110086e-05,1.0
17500,1.5026351,0.3333333333333333,141.44798,187.7095743815104,187.7095743815104,304.16635,0.14778686,5.6790093e-05,1.0
18000,1.502737,0.3333333333333333,141.5821,187.7095743815104,187.7095743815104,283.51108,0.113135494,4.6470082e-05,1.0
18500,1.5028343,0.3342245989304813,141.75038,187.7095743815104,187.7095743815104,265.45294,0.1374862,3.6150093e-05,1.0
19000,1.5030818,0.3333333333333333,142.00621,187.7095743815104,187.7095743815104,252.23573,0.1446031,2.583009e-05,1.0
19500,1.5031867,0.3333333333333333,142.21648,187.7095743815104,187.7095743815104,232.71124,0.14167659,1.5510095e-05,1.0
20000,1.5031246,0.3333333333333333,142.35136,187.7095743815104,187.7095743815104,224.20854,0.12459513,5.1901015e-06,1.0
