Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
500,1.4201237,1.5561224489795917,-109.11123,363.12922238080927,363.12922238080927,172579.58,0.35636607,0.00039477999,1.0
1000,1.4206331,1.004,-21.16779,321.81651483865147,321.81651483865147,158819.3,0.46070525,0.00038704,1.0
1500,1.4206396,1.0,16.91458,182.33029174804688,182.33029174804688,66372.89,0.1849291,0.00037671998,1.0
2000,1.4236445,1.0,28.116783,182.3561799316406,182.3561799316406,43408.99,0.42708427,0.00036632002,1.0
2500,1.4274719,1.0242914979757085,54.305107,197.49296860173646,197.49296860173646,24441.781,0.2194047,0.00035592,1.0
3000,1.4294077,1.3255813953488371,98.451904,358.8489430982013,358.8489430982013,62849.195,0.14279622,0.00034559998,1.0
3500,1.432229,1.9467455621301775,194.05602,727.4850927016314,727.4850927016314,209176.45,0.14457238,0.00033531,1.0
4000,1.4330335,2.0736196319018405,266.0017,799.1112124203173,799.1112124203173,231075.03,0.11746703,0.00032494002,1.0
4500,1.4319701,2.09375,321.66364,806.962043762207,806.962043762207,205845.84,0.13013993,0.00031457003,1.0
5000,1.4303882,2.0869565217391304,368.60165,824.424626103154,824.424626103154,177527.34,0.13204703,0.00030415002,1.0
5500,1.4293203,2.0736196319018405,403.59802,796.5121025600316,796.5121025600316,147720.94,0.13925344,0.00029380003,1.0
6000,1.4280506,2.125,419.00647,831.9459533691406,831.9459533691406,140616.64,0.23142117,0.00028349002,1.0
6500,1.4264449,2.0864197530864197,436.17203,915.2522198712385,915.2522198712385,212431.56,0.1454902,0.00027320004,1.0
7000,1.4271551,2.099378881987578,461.2579,928.6348228691528,928.6348228691528,204363.0,0.165595,0.00026291003,1.0
7500,1.4290593,2.067901234567901,469.0396,912.2120376306077,912.2120376306077,198967.83,0.096173644,0.00025514,1.0
8000,1.4303979,1.9702380952380953,480.95132,858.681265642543,858.681265642543,183243.3,0.1711238,0.00024739,1.0
8500,1.431365,2.0606060606060606,479.2354,907.8252493193655,907.8252493193655,192355.11,0.16052355,0.00023707005,1.0
9000,1.4307159,2.1,483.75793,922.4567162176097,922.4567162176097,181927.89,0.15443428,0.00022675004,1.0
9500,1.4320122,4.1020408163265305,525.99774,1497.6305691466039,1497.6305691466039,170917.1,0.24373361,0.00021642004,1.0
10000,1.4333367,5.578947368421052,545.8372,1978.440489116468,1978.440489116468,238330.88,0.15631494,0.00020609004,1.0
10500,1.4338356,5.890410958904109,599.1034,2150.722941080729,2150.722941080729,250257.11,0.18329975,0.00019579004,1.0
11000,1.4343355,4.164948453608248,684.74884,1369.5581407055413,1369.5581407055413,237095.28,0.45777962,0.00018548005,1.0
11500,1.4370817,2.075,720.28107,896.8927476671007,896.8927476671007,297711.9,0.13596672,0.00017514004,1.0
12000,1.4377654,1.964705882352941,693.5056,847.7618408203125,847.7618408203125,265402.25,0.17037469,0.00016476006,1.0
12500,1.4383091,2.05,669.5586,887.8196957435136,887.8196957435136,241055.03,0.17895496,0.00015444006,1.0
13000,1.4386629,2.471830985915493,660.70856,1012.5650912198154,1012.5650912198154,244543.05,0.15808217,0.00014407006,1.0
13500,1.4390131,4.290322580645161,669.8283,1498.2467417615526,1498.2467417615526,267181.97,0.18027231,0.00013373006,1.0
14000,1.4390174,4.882352941176471,692.87305,1366.1517170750817,1366.1517170750817,209825.19,0.15200236,0.00012341006,1.0
14500,1.439368,5.097560975609756,697.37726,1455.384320514958,1455.384320514958,213436.6,0.22547644,0.000113100075,1.0
15000,1.4394217,5.876712328767123,701.7696,1966.4266415948737,1966.4266415948737,231926.55,0.18422742,0.00010280008,1.0
15500,1.4395481,5.493333333333333,717.1114,1668.6282445004113,1668.6282445004113,214552.17,0.10635394,9.504009e-05,1.0
16000,1.4394783,5.605263157894737,723.5637,1759.2266203227796,1759.2266203227796,208426.88,0.14965503,8.727008e-05,1.0
16500,1.4396552,5.902777777777778,732.8298,1910.36062329436,1910.36062329436,219457.28,0.12017262,7.6890086e-05,1.0
17000,1.4401507,5.51948051948052,744.41565,1744.4936856356535,1744.4936856356535,222457.0,0.14950609,6.653009e-05,1.0
17500,1.4401746,5.172839506172839,749.118,1607.5682614173418,1607.5682614173418,199409.17,0.1196945,5.622009e-05,1.0
18000,1.4401106,5.265822784810126,756.1547,1607.0157941987243,1607.0157941987243,197227.19,0.1594295,4.5920075e-05,1.0
18500,1.4401209,5.2375,757.4909,1592.7006255726756,1592.7006255726756,191654.53,0.15720293,3.5600086e-05,1.0
19000,1.4400673,5.2625,761.842,1558.7979790409909,1558.7979790409909,191189.56,0.13419014,2.5240086e-05,1.0
19500,1.4400358,5.0,763.4973,1501.1085321335565,1501.1085321335565,195917.72,0.124948174,1.4850105e-05,1.0
20000,1.4399968,5.222222222222222,762.2371,1589.7799751281739,1589.7799751281739,190748.4,0.15965968,4.510096e-06,1.0
