Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,-5.852668,1.0,14.180708,175.6417216718436,175.6417216718436,1.0
1000,-5.852669,1.0,13.991206,176.58529541015625,176.58529541015625,1.0
1500,-5.852669,1.0,13.991212,176.58523364257812,176.58523364257812,1.0
2000,-5.8526697,1.0,13.991216,176.58553369140625,176.58553369140625,1.0
2500,-5.8526683,1.0,13.991202,176.58546484375,176.58546484375,1.0
3000,-5.852669,1.0,13.991214,176.58542114257813,176.58542114257813,1.0
3500,-5.852669,1.0,13.991209,176.5855234375,176.5855234375,1.0
4000,-5.8526697,1.0,13.991215,176.58532055664062,176.58532055664062,1.0
4500,-5.852669,1.0,13.991215,176.5855927734375,176.5855927734375,1.0
5000,-5.852669,1.0,13.99121,176.5853962402344,176.5853962402344,1.0
5500,-5.8526683,1.0,13.991203,176.5854453125,176.5854453125,1.0
6000,-5.852669,1.0,13.991206,176.5852849121094,176.5852849121094,1.0
6500,-5.8526692,1.0,13.991211,176.5853095703125,176.5853095703125,1.0
7000,-5.852669,1.0,13.991211,176.585640625,176.585640625,1.0
7500,-5.852669,1.0,13.991209,176.58561010742187,176.58561010742187,1.0
8000,-5.852669,1.0,13.991205,176.58528173828125,176.58528173828125,1.0
8500,-5.8526673,1.0,13.991193,176.58583325195312,176.58583325195312,1.0
9000,-5.8526697,1.0,13.99122,176.5854453125,176.5854453125,1.0
9500,-5.8526692,1.0,13.991215,176.585470703125,176.585470703125,1.0
10000,-5.852669,1.0,13.9912195,176.5858740234375,176.5858740234375,1.0
10500,-5.8526692,1.0,13.99122,176.58553637695312,176.58553637695312,1.0
11000,-5.852669,1.0,13.991207,176.5850803222656,176.5850803222656,1.0
11500,-5.8526683,1.0,13.991209,176.58565185546874,176.58565185546874,1.0
12000,-5.8526683,1.0,13.9912,176.58551513671875,176.58551513671875,1.0
12500,-5.852669,1.0,13.991217,176.58550805664063,176.58550805664063,1.0
13000,-5.852669,1.0,13.991215,176.58571411132812,176.58571411132812,1.0
13500,-5.852669,1.0,13.99121,176.58541577148438,176.58541577148438,1.0
14000,-5.852669,1.0,13.991207,176.5856533203125,176.5856533203125,1.0
14500,-5.8526692,1.0,13.991215,176.585326171875,176.585326171875,1.0
15000,-5.852668,1.0,13.991202,176.5857255859375,176.5857255859375,1.0
