Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
500,1.4210879,1.2831050228310503,-25.004429,118.06656779717962,118.06656779717962,238419.33,0.33826473,0.00039479998,1.0
1000,1.4260869,1.0201612903225807,-28.655241,-49.82527775918284,-49.82527775918284,10691.141,0.35072887,0.00038699998,1.0
1500,1.4289483,1.032520325203252,-34.44196,46.37977885424606,46.37977885424606,13176.123,0.2624879,0.00037667,1.0
2000,1.4350612,1.0,-7.803903,182.33029174804688,182.33029174804688,53430.52,0.3267343,0.00036636004,1.0
2500,1.4411255,1.0,34.709324,103.30402294921875,103.30402294921875,23565.994,0.34883913,0.00035604,1.0
3000,1.4452325,1.0,50.121143,137.998482421875,137.998482421875,21373.564,0.35849524,0.00034572,1.0
3500,1.4474138,1.0,60.05052,38.59931909179687,38.59931909179687,27849.42,0.32289958,0.0003354,1.0
4000,1.4512874,1.0,17.399195,136.86437182617186,136.86437182617186,21562.732,0.25364614,0.00032508,1.0
4500,1.4559516,1.0,69.066284,182.33029174804688,182.33029174804688,9926.271,0.24051517,0.00031476,1.0
5000,1.4590844,1.0,111.61255,182.33029174804688,182.33029174804688,1898.9136,0.29731202,0.00030444,1.0
5500,1.4653109,1.0120967741935485,129.01762,28.41746840938445,28.41746840938445,37087.164,0.29751915,0.00029411,1.0
6000,1.4683455,1.0,90.65758,-58.60345458984375,-58.60345458984375,44415.414,0.3041604,0.00028372003,1.0
6500,1.4723866,1.0,44.783905,-49.047598876953124,-49.047598876953124,20678.066,0.1866659,0.00027332,1.0
7000,1.4741596,1.0120481927710843,22.83439,183.47820995897652,183.47820995897652,28935.652,0.2751376,0.00026300002,1.0
7500,1.4753288,1.0161290322580645,52.241764,181.67758031045236,181.67758031045236,16995.508,0.18745346,0.00025271002,1.0
8000,1.4790113,1.0,77.11316,182.29247192382812,182.29247192382812,9945.237,0.16669746,0.00024498004,1.0
8500,1.4829873,1.0920502092050208,90.89688,199.2591800450281,199.2591800450281,19397.076,0.16456859,0.00023725003,1.0
9000,1.4859052,1.0120967741935485,118.37539,78.71642475743448,78.71642475743448,12536.761,0.25219992,0.00022696007,1.0
9500,1.4887099,1.0,95.68205,159.20065209960939,159.20065209960939,33506.832,0.21158633,0.00021660005,1.0
10000,1.4908057,1.0,103.23239,182.33029174804688,182.33029174804688,4459.389,0.13265575,0.00020620006,1.0
10500,1.491663,1.0,113.072685,182.33029174804688,182.33029174804688,2614.771,0.15302211,0.00019580004,1.0
11000,1.4938672,1.0,121.029015,153.25256298828126,153.25256298828126,1640.803,0.31697187,0.00018540007,1.0
11500,1.4964194,1.0,106.38177,154.46799926757814,154.46799926757814,9257.432,0.15354882,0.00017500007,1.0
12000,1.498171,1.0,109.51214,182.29390112304688,182.29390112304688,2048.8938,0.21863931,0.00016460006,1.0
12500,1.4995173,1.5692307692307692,79.967766,353.3665790264423,353.3665790264423,119263.73,0.24604738,0.00015423007,1.0
13000,1.4988896,2.048780487804878,78.93861,470.6131454095608,470.6131454095608,233806.97,0.16258007,0.00014389007,1.0
13500,1.4984417,2.0683229813664594,97.504105,514.2031879189574,514.2031879189574,221297.94,0.203872,0.00013357007,1.0
14000,1.4983993,1.4238095238095239,168.9734,306.0903555063101,306.0903555063101,120191.23,0.20494352,0.00012324007,1.0
14500,1.498718,1.008097165991903,202.76036,182.8503686228106,182.8503686228106,8162.2036,0.18286279,0.00011292007,1.0
15000,1.4992934,1.0,199.08162,182.33029174804688,182.33029174804688,6876.064,0.16474332,0.00010512007,1.0
15500,1.4981219,1.004,193.44514,181.66108081054688,181.66108081054688,6079.211,0.16901118,9.732008e-05,1.0
16000,1.498077,1.8571428571428572,141.40105,375.34229736328126,375.34229736328126,76342.9,0.20615813,8.7010085e-05,1.0
16500,1.4979712,2.049382716049383,131.95168,459.8382407346386,459.8382407346386,172244.62,0.15698157,7.671009e-05,1.0
17000,1.4980308,2.104294478527607,141.52444,482.2623095100309,482.2623095100309,187498.28,0.23892678,6.6370085e-05,1.0
17500,1.4972007,2.080246913580247,146.56433,490.5714619954427,490.5714619954427,187460.48,0.22965741,5.5960085e-05,1.0
18000,1.4968889,2.0736196319018405,153.60445,489.7374080353719,489.7374080353719,192221.06,0.20970953,4.5540088e-05,1.0
18500,1.49663,2.080246913580247,153.86247,519.9168444974923,519.9168444974923,190511.25,0.14113304,3.5200086e-05,1.0
19000,1.4966472,2.125,155.6157,506.79632568359375,506.79632568359375,198707.17,0.16252638,2.4890098e-05,1.0
19500,1.496699,2.09375,156.55534,530.4093112353212,530.4093112353212,202562.88,0.11451049,1.4570107e-05,1.0
20000,1.4966727,2.117283950617284,160.62827,512.1362516983696,512.1362516983696,194400.22,0.15411437,4.220108e-06,1.0
