Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
500,1.4191496,1.0,160.72575,-176.77357354221573,-176.77357354221573,165250.45,0.30545053,0.00039479998,1.0
1000,1.4224738,1.884393063583815,78.054276,230.44969966493804,230.44969966493804,87348.62,0.25327796,0.00038702998,1.0
1500,1.4292617,1.100418410041841,125.32785,200.8559554925486,200.8559554925486,103275.55,0.26391718,0.00037670997,1.0
2000,1.4337735,1.0,133.18091,55.38058935546875,55.38058935546875,43606.83,0.29373553,0.0003664,1.0
2500,1.4357791,1.0080321285140563,104.55761,11.957340347719,11.957340347719,68049.43,0.38625807,0.00035608,1.0
3000,1.4394065,1.0,81.778564,104.46500122070313,104.46500122070313,17962.719,0.28507397,0.00034576,1.0
3500,1.4464548,1.0,76.94129,226.63596142578126,226.63596142578126,22535.3,0.29788664,0.00033543998,1.0
4000,1.451634,1.0,119.74406,423.2640380859375,423.2640380859375,75605.266,0.21909899,0.00032512,1.0
4500,1.4544841,1.0,179.8401,423.2640380859375,423.2640380859375,45061.016,0.20591226,0.0003148,1.0
5000,1.4586643,1.0,225.24147,423.2640380859375,423.2640380859375,22532.043,0.2871688,0.00030448003,1.0
5500,1.4607707,1.0,252.89378,423.2640380859375,423.2640380859375,12676.614,0.13395731,0.00029416004,1.0
6000,1.4626284,1.0,274.68735,423.2640380859375,423.2640380859375,7298.1357,0.17719314,0.00028384003,1.0
6500,1.4650862,1.0,291.33804,423.2640380859375,423.2640380859375,4575.929,0.47958297,0.00027352004,1.0
7000,1.4653875,1.0,301.93106,423.2640380859375,423.2640380859375,3199.0757,0.28013155,0.00026320003,1.0
7500,1.466531,1.0,304.72165,423.2640380859375,423.2640380859375,2861.9849,0.2260226,0.00025288004,1.0
8000,1.468177,1.0,306.44598,423.2640380859375,423.2640380859375,2683.6106,0.24694262,0.00024514002,1.0
8500,1.4711041,1.0,308.1717,423.2640380859375,423.2640380859375,2460.7341,0.26916826,0.00023740002,1.0
9000,1.4751192,1.0,310.23032,423.2640380859375,423.2640380859375,2238.8674,0.2401233,0.00022708003,1.0
9500,1.4767243,1.0,311.97943,423.2640380859375,423.2640380859375,2004.0432,0.30368352,0.00021676003,1.0
10000,1.4770133,1.0,313.68777,423.2640380859375,423.2640380859375,1792.7373,0.2566836,0.00020644005,1.0
10500,1.4783887,1.0,315.13452,423.2640380859375,423.2640380859375,1623.1074,0.38896078,0.00019612006,1.0
11000,1.4787645,1.0,316.54474,423.2640380859375,423.2640380859375,1450.0293,0.19204879,0.00018580006,1.0
11500,1.4791623,1.0,317.1861,423.2640380859375,423.2640380859375,1336.053,0.260959,0.00017548008,1.0
12000,1.4803535,1.0,318.444,423.2640380859375,423.2640380859375,1247.615,0.1821,0.00016516008,1.0
12500,1.4820039,1.0,319.49103,423.2640380859375,423.2640380859375,1147.7986,0.29751793,0.00015484006,1.0
13000,1.4829113,1.0,319.9598,423.2640380859375,423.2640380859375,1074.1321,0.14990732,0.00014452006,1.0
13500,1.4840485,1.0,320.58856,423.2640380859375,423.2640380859375,994.6797,0.21968597,0.00013420006,1.0
14000,1.4847013,1.0,321.04306,423.2640380859375,423.2640380859375,932.0295,0.26189563,0.00012388008,1.0
14500,1.4852113,1.0,321.62762,423.2640380859375,423.2640380859375,871.3039,0.17776316,0.00011356008,1.0
15000,1.4853691,1.0,322.09366,423.2640380859375,423.2640380859375,815.7603,0.18386969,0.00010324006,1.0
15500,1.4854034,1.0,322.60248,423.2640380859375,423.2640380859375,778.9254,0.18135273,9.292007e-05,1.0
16000,1.4853517,1.0,322.98962,423.2640380859375,423.2640380859375,736.32587,0.20110086,8.2600076e-05,1.0
16500,1.4856123,1.0,323.16367,423.2640380859375,423.2640380859375,708.11334,0.14832081,7.486009e-05,1.0
17000,1.4857702,1.0,323.64938,423.2640380859375,423.2640380859375,700.5052,0.15077457,6.712009e-05,1.0
17500,1.4855773,1.0,324.1513,423.2640380859375,423.2640380859375,664.0172,0.14165255,5.6800094e-05,1.0
18000,1.4854184,1.0,324.68314,423.2640380859375,423.2640380859375,628.85266,0.14619407,4.6480087e-05,1.0
18500,1.4855136,1.0,324.86475,423.2640380859375,423.2640380859375,609.8019,0.1520516,3.6160083e-05,1.0
19000,1.4855713,1.0,325.08746,423.2640380859375,423.2640380859375,595.2311,0.1250108,2.584009e-05,1.0
19500,1.485534,1.0,325.30875,423.2640380859375,423.2640380859375,581.46655,0.13840671,1.5520096e-05,1.0
20000,1.4855089,1.0,325.5456,423.2640380859375,423.2640380859375,571.0413,0.12634885,5.2001033e-06,1.0
